code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
AAW,OAG,Aachen Bf West Bus St,50.7825,6.07167,100,t,NULL,5,en-us,f,NULL,f,NULL
AQL,OAG,Almeria Bus Station,36.83528,-2.45694,100,t,NULL,5,en-us,f,NULL,t,NULL
AUB,OAG,Munich Augsburg Bus Station,48.4025,10.87889,100,t,NULL,5,en-us,f,NULL,f,NULL
AVJ,OAG,Avila Bus Station,40.65806,-4.68972,100,t,NULL,5,en-us,f,NULL,f,NULL
AXI,OAG,Algeciras Bus Station,36.12639,-5.44889,100,t,NULL,5,en-us,f,NULL,f,NULL
AZM,OAG,Macau CZ Bus Station,22.21556,113.54889,800,t,NULL,5,en-us,f,NULL,f,NULL
BBE,OAG,Buenos Aires Fluvial Bus Station,-34.62694,-58.35889,-300,t,NULL,5,en-us,f,NULL,f,NULL
BQC,OAG,Sainte-Foy Bus Station,46.7925,-71.39222,-500,t,NULL,5,en-us,f,NULL,t,NULL
BVN,OAG,Baoding MU Bus Station,38.86111,115.48111,800,t,NULL,5,en-us,f,NULL,f,NULL
CBA,OAG,Cordoba Bus Station,37.88944,-4.79028,100,t,NULL,5,en-us,f,NULL,t,NULL
CHW,OAG,Cheltenham Bus Station,51.89944,-2.07806,0,t,NULL,5,en-us,f,NULL,t,NULL
CLB,OAG,Colchester Bus Station,51.88833,-0.90472,0,t,NULL,5,en-us,f,NULL,t,NULL
CPZ,OAG,Cipolletti RN Bus Station,-38.94111,-68.0075,-300,t,NULL,5,en-us,f,NULL,f,NULL
DDB,OAG,Dongguan Bus Station,23.03417,113.72694,800,t,NULL,5,en-us,f,NULL,f,NULL
DEY,OAG,Deyang Bus Station,31.13083,104.38,800,t,NULL,5,en-us,f,NULL,f,NULL
DMS,OAG,Dammam SABTCO Bus Station,26.45139,50.10694,300,t,NULL,5,en-us,f,NULL,t,NULL
DRX,OAG,Dresden Bus Station,51.04028,13.73056,100,t,NULL,5,en-us,f,NULL,f,NULL
EVI,OAG,Sevilla Bus Station,37.38056,-5.98722,100,t,NULL,5,en-us,f,NULL,t,NULL
EVO,OAG,Estepona Bus Station,36.43028,-5.1275,100,t,NULL,5,en-us,f,NULL,f,NULL
EXA,OAG,NULL,38.91472,-6.35778,100,t,NULL,5,en-us,f,NULL,f,NULL
EXC,OAG,NULL,39.45917,-6.38222,100,t,NULL,5,en-us,f,NULL,f,NULL
FMV,OAG,Montevideo Fluvial Bus Station,-34.90306,-56.21333,-300,t,NULL,5,en-us,f,NULL,f,NULL
FSA,OAG,Foshan Bus Station,23.03944,113.10806,800,t,NULL,5,en-us,f,NULL,f,NULL
GBX,OAG,Granada Bus Station,37.19917,-3.61389,100,t,NULL,5,en-us,f,NULL,t,NULL
GJB,OAG,Guadalajara Bus Station,40.63611,-3.17306,100,t,NULL,5,en-us,f,NULL,f,NULL
HBZ,OAG,Hannover Bus Station,52.63278,9.73667,100,t,f,5,en-us,f,11c9d143-dfd2-47bb-a68b-101a2eb32910,f,NULL
HHK,OAG,Hong Kong Bus Station,22.27972,114.16139,800,t,NULL,5,en-us,f,NULL,f,NULL
HHS,OAG,Zhongshan Bus Station,22.52139,113.34278,800,t,NULL,5,en-us,f,NULL,f,NULL
HNZ,OAG,Shenzhen Bus Station,22.72861,114.23667,800,t,NULL,5,en-us,f,NULL,f,NULL
HSQ,OAG,Huangshi Bus Station,30.24778,115.06528,800,t,NULL,5,en-us,f,NULL,f,NULL
HVZ,OAG,Heviz MA Bus Station,46.79028,17.18444,100,t,NULL,5,en-us,f,NULL,f,NULL
JBD,OAG,Jiangmen CZ Bus Station,22.58583,113.08583,800,t,NULL,5,en-us,f,NULL,f,NULL
JBU,OAG,Santiago de Compostela Bus Station,42.8875,-8.54972,100,t,NULL,5,en-us,f,NULL,f,NULL
KYY,OAG,Kelamayi Bus Station,45.59056,84.87083,800,t,NULL,5,en-us,f,NULL,f,NULL
LFA,OAG,Langfang MU Bus Station,39.51167,116.71889,800,t,NULL,5,en-us,f,NULL,f,NULL
LGJ,OAG,Lugoj Bus Station,45.68778,21.91583,200,t,NULL,5,en-us,f,NULL,f,NULL
LKJ,OAG,Lodz Kaliska Bus Station,51.75778,19.43222,100,t,NULL,5,en-us,f,NULL,f,NULL
LLZ,OAG,Allen RN Bus Station,-38.9825,-67.82639,-300,t,NULL,5,en-us,f,NULL,f,NULL
LMJ,OAG,Tokyo Bus Station,35.68,139.76889,900,t,NULL,5,en-us,f,NULL,f,NULL
LWG,OAG,Logrono Bus Station,42.45972,-2.44417,100,t,NULL,5,en-us,f,NULL,f,NULL
LZB,OAG,Leon Bus Station,42.59194,-5.57833,100,t,NULL,5,en-us,f,NULL,f,NULL
MSB,OAG,Maribor Bus Station,46.55917,15.65528,100,t,NULL,5,en-us,f,NULL,t,NULL
